teamId,serviceId,successfulChecks,totalChecks
0,0,240,240
0,1,240,240
0,2,240,240
0,3,240,240
0,4,240,240
0,5,240,240
0,6,240,240
0,7,240,240
1,0,234,240
1,1,238,240
1,2,226,240
1,3,226,240
1,4,229,240
1,5,214,240
1,6,220,240
1,7,239,240
2,0,234,240
2,1,232,240
2,2,230,240
2,3,236,240
2,4,228,240
2,5,237,240
2,6,237,240
2,7,220,240
3,0,222,240
3,1,222,240
3,2,227,240
3,3,225,240
3,4,223,240
3,5,198,240
3,6,190,240
3,7,205,240
4,0,230,240
4,1,227,240
4,2,231,240
4,3,229,240
4,4,226,240
4,5,237,240
4,6,234,240
4,7,221,240
5,0,240,240
5,1,240,240
5,2,197,240
5,3,231,240
5,4,233,240
5,5,231,240
5,6,131,240
5,7,230,240
6,0,221,240
6,1,225,240
6,2,235,240
6,3,232,240
6,4,236,240
6,5,231,240
6,6,230,240
6,7,224,240
7,0,240,240
7,1,237,240
7,2,228,240
7,3,229,240
7,4,232,240
7,5,234,240
7,6,235,240
7,7,219,240
