id,attacker_id,flag_id,attacker_delta,victim_delta,timestamp
1,4,64,16.77050983,-16.77050983,2022-06-16 07:07:28.030522+00
2,4,128,16.69164276,-16.69164276,2022-06-16 07:07:28.034233+00
3,4,192,16.61314938,-16.61314938,2022-06-16 07:07:28.035577+00
4,4,16,16.65305924,-16.65305924,2022-06-16 07:10:14.614125+00
5,4,80,16.57494502,-16.57494502,2022-06-16 07:10:14.617817+00
6,4,144,16.49720403,-16.49720403,2022-06-16 07:10:14.619201+00
7,4,208,16.41983711,-16.41983711,2022-06-16 07:10:14.620491+00
8,4,272,16.34284502,-16.34284502,2022-06-16 07:10:14.621724+00
9,4,256,16.34289361,-16.34289361,2022-06-16 07:10:14.622807+00
10,4,320,16.26640008,-16.26640008,2022-06-16 07:10:14.623926+00
11,4,48,16.38535059,-16.38535059,2022-06-16 07:10:14.624877+00
12,4,112,16.30896263,-16.30896263,2022-06-16 07:10:14.625856+00
13,4,176,16.23294624,-16.23294624,2022-06-16 07:10:14.626804+00
14,4,240,16.15730199,-16.15730199,2022-06-16 07:10:14.62767+00
15,4,304,16.08203038,-16.08203038,2022-06-16 07:10:14.628509+00
16,4,32,16.19846002,-16.19846002,2022-06-16 07:10:14.629378+00
17,4,96,16.12328501,-16.12328501,2022-06-16 07:10:14.630181+00
18,4,160,16.04847991,-16.04847991,2022-06-16 07:10:14.630943+00
19,4,224,15.97404513,-15.97404513,2022-06-16 07:10:14.631741+00
20,4,288,15.89998098,-15.89998098,2022-06-16 07:10:14.632888+00
21,4,88,16.01524689,-16.01524689,2022-06-16 07:10:14.63467+00
22,4,152,15.94126664,-15.94126664,2022-06-16 07:10:14.635535+00
23,4,216,15.8676543,-15.8676543,2022-06-16 07:10:14.63636+00
24,4,280,15.7944101,-15.7944101,2022-06-16 07:10:14.637397+00
25,4,352,15.68231661,-15.68231661,2022-06-16 07:12:04.380875+00
26,4,384,15.6412221,-15.6412221,2022-06-16 07:12:04.384575+00
27,4,368,15.60962391,-15.60962391,2022-06-16 07:12:04.385907+00
28,4,336,15.57145819,-15.57145819,2022-06-16 07:12:04.38786+00
29,4,344,15.5810195,-15.5810195,2022-06-16 07:12:05.663717+00
30,4,416,15.46999551,-15.46999551,2022-06-16 07:14:04.591118+00
31,4,400,15.43041922,-15.43041922,2022-06-16 07:14:04.595488+00
32,4,448,15.39539638,-15.39539638,2022-06-16 07:14:04.59725+00
33,4,432,15.36479386,-15.36479386,2022-06-16 07:14:04.598992+00
34,4,408,15.37206289,-15.37206289,2022-06-16 07:14:05.892758+00
35,4,512,15.25662627,-15.25662627,2022-06-16 07:16:04.842626+00
36,4,464,15.22341459,-15.22341459,2022-06-16 07:16:04.846329+00
37,4,496,15.19296848,-15.19296848,2022-06-16 07:16:04.848804+00
38,4,480,15.16122154,-15.16122154,2022-06-16 07:16:04.850297+00
39,4,472,15.16744927,-15.16744927,2022-06-16 07:16:06.15875+00
40,6,208,16.46591702,-16.46591702,2022-06-16 07:16:10.337069+00
41,6,272,16.38800519,-16.38800519,2022-06-16 07:16:10.340562+00
42,6,336,16.31047525,-16.31047525,2022-06-16 07:16:10.341863+00
43,6,400,16.23332784,-16.23332784,2022-06-16 07:16:10.342972+00
44,6,464,16.15656356,-16.15656356,2022-06-16 07:16:10.343974+00
45,6,216,16.32015952,-16.32015952,2022-06-16 07:16:10.468457+00
46,6,280,16.24335438,-16.24335438,2022-06-16 07:16:10.471881+00
47,6,344,16.16692846,-16.16692846,2022-06-16 07:16:10.472923+00
48,6,408,16.09088227,-16.09088227,2022-06-16 07:16:10.474045+00
49,6,472,16.01521625,-16.01521625,2022-06-16 07:16:10.47534+00
50,6,224,16.0925964,-16.0925964,2022-06-16 07:16:10.616043+00
51,6,288,16.01716366,-16.01716366,2022-06-16 07:16:10.619745+00
52,6,352,15.94210906,-15.94210906,2022-06-16 07:16:10.620988+00
53,6,416,15.86743288,-15.86743288,2022-06-16 07:16:10.622062+00
54,6,480,15.79313536,-15.79313536,2022-06-16 07:16:10.623035+00
55,6,544,15.71921666,-15.71921666,2022-06-16 07:16:10.624063+00
56,6,232,17.58943358,-17.58943358,2022-06-16 07:16:10.751301+00
57,6,296,17.51026885,-17.51026885,2022-06-16 07:16:10.755175+00
58,6,360,17.43143337,-17.43143337,2022-06-16 07:16:10.756674+00
59,6,424,17.35292884,-17.35292884,2022-06-16 07:16:10.757895+00
60,6,488,17.27475694,-17.27475694,2022-06-16 07:16:10.75901+00
61,6,552,17.19691921,-17.19691921,2022-06-16 07:16:10.760053+00
62,6,240,15.63418296,-15.63418296,2022-06-16 07:16:10.883018+00
63,6,304,15.56179686,-15.56179686,2022-06-16 07:16:10.886443+00
64,6,368,15.48978244,-15.48978244,2022-06-16 07:16:10.888256+00
65,6,432,15.4181396,-15.4181396,2022-06-16 07:16:10.889181+00
66,6,496,15.34686821,-15.34686821,2022-06-16 07:16:10.890099+00
67,6,560,15.27596805,-15.27596805,2022-06-16 07:16:10.891375+00
68,6,256,15.42180143,-15.42180143,2022-06-16 07:16:10.984812+00
69,6,320,15.35082684,-15.35082684,2022-06-16 07:16:10.986197+00
70,6,384,15.28022028,-15.28022028,2022-06-16 07:16:10.987259+00
71,6,448,15.20998152,-15.20998152,2022-06-16 07:16:10.988181+00
72,6,512,15.14011026,-15.14011026,2022-06-16 07:16:10.989035+00
73,6,576,15.07060614,-15.07060614,2022-06-16 07:16:10.989854+00
74,4,576,15.0665157,-15.0665157,2022-06-16 07:18:05.506269+00
75,4,528,15.05738725,-15.05738725,2022-06-16 07:18:05.509689+00
76,4,544,14.99623995,-14.99623995,2022-06-16 07:18:05.51095+00
77,4,560,14.96775134,-14.96775134,2022-06-16 07:18:05.512014+00
78,4,536,15.00478012,-15.00478012,2022-06-16 07:18:05.513057+00
324,4,944,13.87139345,-13.87139345,2022-06-16 07:30:05.346081+00
325,4,912,13.89664654,-13.89664654,2022-06-16 07:30:05.349402+00
175,6,720,14.33459376,-14.33459376,2022-06-16 07:24:01.51473+00
326,4,928,13.80821215,-13.80821215,2022-06-16 07:30:05.350432+00
83,6,528,14.98987641,-14.98987641,2022-06-16 07:19:07.035741+00
84,6,592,14.9211506,-14.9211506,2022-06-16 07:19:07.039271+00
327,4,960,13.78354138,-13.78354138,2022-06-16 07:30:05.351435+00
331,4,915,15.19304193,-15.19304193,2022-06-16 07:30:29.108732+00
1155,6,1933,16.19598564,-16.19598564,2022-06-16 08:03:56.576625+00
554,2,1168,16.76121366,-16.76121366,2022-06-16 07:38:59.428337+00
89,6,536,14.97086766,-14.97086766,2022-06-16 07:19:07.270243+00
90,6,600,14.90240805,-14.90240805,2022-06-16 07:19:07.273629+00
744,2,1376,14.26930488,-14.26930488,2022-06-16 07:44:59.42476+00
1161,6,1997,16.12045981,-16.12045981,2022-06-16 08:04:04.299706+00
191,4,768,14.4042103,-14.4042103,2022-06-16 07:24:05.280365+00
192,4,736,14.36954051,-14.36954051,2022-06-16 07:24:05.284218+00
193,4,752,14.34334256,-14.34334256,2022-06-16 07:24:05.285438+00
96,6,608,14.83067128,-14.83067128,2022-06-16 07:19:07.532502+00
204,4,467,16.38534439,-16.38534439,2022-06-16 07:24:37.045151+00
205,4,531,16.30895648,-16.30895648,2022-06-16 07:24:37.048466+00
206,4,595,16.23294013,-16.23294013,2022-06-16 07:24:37.049434+00
207,4,659,16.15729592,-16.15729592,2022-06-16 07:24:37.050374+00
208,4,723,16.08202435,-16.08202435,2022-06-16 07:24:37.051291+00
102,6,624,14.8028572,-14.8028572,2022-06-16 07:19:07.920211+00
210,4,459,16.19845394,-16.19845394,2022-06-16 07:24:54.569619+00
211,4,523,16.12327898,-16.12327898,2022-06-16 07:24:54.57405+00
212,4,587,16.04847392,-16.04847392,2022-06-16 07:24:54.575269+00
213,4,651,15.97403918,-15.97403918,2022-06-16 07:24:54.576417+00
214,4,715,15.89997507,-15.89997507,2022-06-16 07:24:54.577559+00
108,6,640,14.7693476,-14.7693476,2022-06-16 07:19:08.198633+00
109,4,624,14.83103748,-14.83103748,2022-06-16 07:20:05.811895+00
110,4,592,14.78567161,-14.78567161,2022-06-16 07:20:05.819235+00
111,4,640,14.7650992,-14.7650992,2022-06-16 07:20:05.82077+00
112,4,608,14.72921898,-14.72921898,2022-06-16 07:20:05.822062+00
113,4,600,14.73596693,-14.73596693,2022-06-16 07:20:07.108201+00
341,6,992,13.7179837,-13.7179837,2022-06-16 07:30:43.881139+00
1577,6,2277,16.1251202,-16.1251202,2022-06-16 08:14:55.985975+00
956,4,1856,10.8660367,-10.8660367,2022-06-16 07:58:05.161033+00
347,6,1008,13.6941072,-13.6941072,2022-06-16 07:30:44.259704+00
957,4,1840,10.87676447,-10.87676447,2022-06-16 07:58:05.164659+00
119,6,656,14.65514217,-14.65514217,2022-06-16 07:20:20.433422+00
